Date,Open,High,Low,Close,Adj Close,Volume
2019-10-18,198.000000,259.950012,196.500000,231.199997,209.427124,71353309
2019-10-22,239.000000,252.000000,205.350006,218.000000,197.470200,73100530
2019-10-23,218.000000,224.899994,202.100006,206.149994,186.736145,55990220
2019-10-24,210.000000,219.000000,196.050003,200.300003,181.437073,42804690
2019-10-25,203.000000,206.399994,181.350006,186.149994,168.619614,42507989
2019-10-27,191.500000,192.399994,187.500000,189.149994,171.337112,4015263
2019-10-29,189.250000,233.800003,186.050003,218.699997,198.104279,63766001
2019-10-30,217.800003,229.250000,204.050003,214.250000,194.073349,58184693
2019-10-31,216.149994,220.000000,204.050003,206.649994,187.189056,48717825
2019-11-01,208.699997,236.399994,207.500000,218.600006,198.013702,60257905
2019-11-04,218.600006,228.800003,214.500000,218.800003,198.194870,42777294
2019-11-05,218.800003,232.649994,217.699997,225.050003,203.856293,47637319
2019-11-06,227.300003,238.600006,216.100006,219.399994,198.738373,47692066
2019-11-07,230.000000,262.399994,229.300003,238.350006,215.903793,94317381
2019-11-08,237.000000,260.000000,228.350006,241.649994,218.893005,77850817
2019-11-11,243.000000,255.600006,236.350006,238.550003,216.084946,59535881
2019-11-13,241.000000,245.600006,215.199997,218.250000,197.696671,47625825
2019-11-14,222.500000,223.850006,208.100006,211.350006,191.446457,45073367
2019-11-15,212.399994,218.850006,207.500000,210.300003,190.495346,35716132
2019-11-18,205.000000,215.699997,200.500000,208.699997,195.555222,41305424
2019-11-19,210.199997,218.000000,210.050003,212.699997,199.303299,28626369
2019-11-20,214.000000,216.000000,206.600006,208.199997,195.086716,22849941
2019-11-21,209.500000,235.300003,204.550003,231.550003,216.966049,53888172
2019-11-22,236.500000,244.899994,231.399994,237.350006,222.400742,58500860
2019-11-25,234.000000,266.000000,233.199997,259.450012,243.108795,56913283
2019-11-26,267.950012,281.549988,256.600006,259.049988,242.733978,96013905
2019-11-27,265.100006,270.700012,259.100006,268.149994,251.260803,34033191
2019-11-28,274.500000,347.799988,272.200012,334.750000,313.666107,168963840
2019-11-29,354.450012,376.700012,268.100006,290.500000,272.203125,173409205
2019-12-02,292.500000,309.000000,271.450012,304.149994,284.993378,97863806
2019-12-03,306.049988,312.000000,284.000000,290.850006,272.531097,57512598
2019-12-04,291.000000,297.950012,282.299988,288.200012,270.047974,41360659
2019-12-05,289.350006,294.250000,283.000000,285.100006,267.143219,22587702
2019-12-06,287.899994,295.200012,270.149994,272.450012,255.290024,38593431
2019-12-09,275.000000,277.200012,254.000000,258.950012,242.640305,51482598
2019-12-10,261.000000,277.600006,259.299988,269.700012,252.713196,55393829
2019-12-11,278.000000,278.500000,255.199997,268.350006,251.448212,43168486
2019-12-12,273.000000,295.549988,265.100006,291.250000,272.905884,49477781
2019-12-13,293.000000,315.399994,292.100006,309.049988,289.584778,73596154
2019-12-16,313.000000,319.700012,303.600006,309.750000,290.240692,48234582
2019-12-17,313.000000,314.799988,303.250000,305.049988,285.836700,28980623
2019-12-18,305.000000,308.399994,297.500000,302.250000,283.213074,25074944
2019-12-19,304.100006,305.799988,292.149994,293.850006,275.342163,22393931
2019-12-20,292.850006,306.500000,288.750000,299.350006,280.495758,39191346
2019-12-23,300.000000,306.500000,293.250000,295.899994,277.263031,25547080
2019-12-24,296.899994,313.500000,296.250000,310.049988,290.521790,43253984
2019-12-26,312.000000,319.799988,293.700012,297.149994,278.434296,45566741
2019-12-27,297.899994,307.399994,294.299988,301.000000,282.041809,40584607
2019-12-30,301.950012,309.299988,300.000000,306.850006,287.523346,23455965
2019-12-31,306.850006,316.899994,305.399994,313.200012,293.473419,34372679
2020-01-01,315.000000,318.299988,310.649994,312.700012,293.004913,18294197
2020-01-02,314.000000,328.600006,310.299988,325.149994,304.670746,31124957
2020-01-03,325.500000,335.799988,321.049988,329.600006,308.840485,38042432
2020-01-06,326.000000,327.149994,301.200012,304.399994,285.227661,31387511
2020-01-07,310.250000,317.399994,303.549988,308.200012,288.788330,32305742
2020-01-08,300.000000,313.000000,297.350006,310.100006,290.568665,23049670
2020-01-09,320.000000,332.799988,317.000000,322.700012,302.375092,34527599
2020-01-10,323.000000,327.700012,312.700012,314.100006,294.316711,25977301
2020-01-13,316.000000,319.000000,308.750000,313.500000,293.754517,16329816
2020-01-14,315.450012,316.750000,306.149994,307.350006,287.991882,16269491
2020-01-15,308.000000,316.450012,301.600006,311.450012,291.833618,22683327
2020-01-16,312.399994,314.500000,306.200012,307.500000,288.132416,12825085
2020-01-17,306.399994,311.000000,303.149994,304.649994,285.461884,11410286
2020-01-20,306.649994,307.850006,292.500000,294.399994,275.857483,15176534
2020-01-21,292.799988,305.799988,291.549988,301.149994,282.182343,16104115
2020-01-22,305.299988,305.950012,295.000000,296.299988,277.637817,12620677
2020-01-23,296.649994,317.600006,296.600006,312.100006,292.442688,30483567
2020-01-24,319.950012,326.399994,316.600006,322.600006,302.281372,26672842
2020-01-27,318.299988,329.700012,317.049988,322.950012,302.609314,20153251
2020-01-28,325.000000,331.200012,317.600006,320.200012,300.032532,19196983
2020-01-29,324.799988,328.399994,313.700012,315.149994,295.300598,16348765
2020-01-30,317.000000,318.500000,304.750000,307.950012,288.554047,16361804
2020-01-31,311.899994,314.000000,304.500000,306.399994,287.101654,16975776
2020-02-03,278.299988,288.000000,250.199997,256.600006,240.438293,32693890
2020-02-04,260.000000,283.200012,257.299988,276.850006,259.412842,35923574
2020-02-05,279.000000,284.149994,271.500000,276.700012,259.272339,20690497
2020-02-06,272.899994,326.399994,268.200012,318.950012,298.861267,103611027
2020-02-07,316.000000,329.000000,311.600006,321.399994,301.156921,42832351
2020-02-10,316.899994,328.000000,315.500000,323.000000,302.656158,22946515
2020-02-11,328.000000,361.000000,326.500000,344.950012,323.223663,62386677
