MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,NJ,INDIGRID,SEC RE NCD 8.20% SR.V,      1027.90,      1027.90,      1029.00,      1018.50,      1021.98,                  2254750.21,2205, ,23,      1083.00,      1000.00
N,NJ,IRFC,TAX FREE  7.53% SR. 103 A,      1185.00,      1185.00,      1185.00,      1172.50,      1175.66,                  1176854.06,1001, ,5,      1215.00,      1100.00
N,NK,ECLFINANCE,SEC RED NCD 9.85% SR. VII,       970.02,       965.00,       965.00,       960.00,       964.00,                    56858.00,59, ,4,      1055.00,       920.00
N,NK,IIFL,SEC RE NCD 0% SR.IV,      1155.30,      1155.50,      1155.50,      1155.50,      1155.50,                    28887.50,25, ,3,      1155.50,      1000.00
N,NL,IIFL,SEC RE NCD 8.42% SR.V,       951.02,       959.90,       959.90,       948.02,       953.92,                   159534.29,168, ,9,      1000.00,       830.20
N,NL,INDIGRID,SEC RE NCD 7.97% SR.VI,       998.00,      1001.00,      1001.00,       993.30,       993.30,                   190536.40,191, ,7,      1065.00,       886.00
N,NL,TCFSL,SERENCD8.65%SR.IIICIII&IV,      1021.00,      1021.50,      1024.99,      1020.00,      1023.00,                   145977.12,143, ,13,      1167.90,      1012.25
N,NM,IIFL,SEC RE NCD 8.75% SR.VI,      1064.62,      1064.00,      1064.62,      1064.00,      1064.26,                    47891.78,45, ,3,      1075.00,       916.00
N,NN,IBULHSGFIN,SEC RE NCD 9% SR.IV,       990.00,       992.00,       992.00,       985.00,       985.00,                    34545.00,35, ,2,      1053.26,       832.80
N,NO,ECLFINANCE,SEC RED NCD 9.95% SR. III,       990.75,       991.00,       991.00,       990.00,       990.00,                   702987.00,710, ,17,      1019.99,       975.00
N,NO,IIFL,SEC RE NCD 8.5% SR.I,      1014.80,      1003.80,      1003.80,      1003.80,      1003.80,                    10038.00,10, ,1,      1022.65,       960.00
N,NO,IRFC,TAX FREE  7.64% SR. 108A,      1192.13,      1193.35,      1193.35,      1193.35,      1193.35,                     8353.45,7, ,1,      1217.99,      1130.00
